date,time,restaurant,discount_meal_price,Member
2024-02-19,20:37,Cantina QUE PASA,4.3,Ben
2024-02-19,14:03,Okrepčevalnica Marijanca,2.9,Ben
2024-02-18,14:04,Norma 23,4.94,Ben
2024-02-16,15:20,Restavracija Fresco,5.1,Ben
2024-02-15,13:48,"DA BU DA, Azijska restavracija",5.14,Ben
2024-02-10,17:44,Cantina QUE PASA,4.3,Ben
2024-02-09,11:21,ŽITO Ljubljana Bavarski dvor,0.0,Ben
2024-02-08,18:26,"JOE PENA ́S, mehiška restavracija",5.14,Ben
2024-02-07,16:50,Pizzeria in oštarija Fugazi,5.14,Ben
2024-02-05,20:31,"DA BU DA, Azijska restavracija",5.14,Ben
2024-02-04,19:07,RIKŠA CURRY&WOK,4.3,Ben
2024-02-03,18:05,Pelmenarna,4.14,Ben
2024-02-02,13:27,ABI FALAFEL,5.14,Ben
2024-02-01,11:05,Cantina QUE PASA,4.3,Ben
2024-01-30,19:48,Cantina QUE PASA,4.3,Ben
2024-01-30,12:27,ŽITO Ljubljana Bavarski dvor,0.0,Ben
2024-01-29,14:05,Gostilnica Meta in Bazilika,5.14,Ben
2024-01-28,14:16,Gostilnica in pivnica Kratochwill,5.14,Ben
2024-01-26,11:21,KOA Bistro & bar,4.99,Ben
2024-01-24,13:19,Okrepčevalnica Marijanca,2.9,Ben
2024-01-22,18:22,McDonald's restavracija - Železniška,2.64,Ben
2024-01-22,12:21,Okrepčevalnica Marijanca,2.9,Ben
2024-01-19,13:06,Pizzeria Briksen,5.14,Ben
2024-01-18,13:40,Yuko,5.14,Ben
2024-01-17,20:46,Pizzeria in oštarija Fugazi,5.14,Ben
2024-01-16,20:42,BURGER TIME,5.14,Ben
2024-01-11,18:51,Namaste Indian Express,3.14,Ben
2024-01-11,12:16,Restavracija Fany & Mary,5.14,Ben
2024-01-10,20:39,Pizzeria in oštarija Fugazi,5.14,Ben
2024-01-09,11:35,Okrepčevalnica Marijanca,2.9,Ben
2024-01-07,18:40,Gostilnica in pivnica Kratochwill,5.14,Ben
2024-01-06,18:57,Šeherezada,3.0,Ben
2024-01-05,11:36,Leonard,0.2,Ben
2024-01-01,19:32,Restavracija Shaolin,5.0,Ben
2023-12-19,14:38,Okrepčevalnica Marijanca,2.9,Ben
2023-12-18,19:53,Cantina QUE PASA,4.3,Ben
2023-12-18,12:57,Okrepčevalnica HOLYFOOD,0.0,Ben
2023-12-15,11:04,Okrepčevalnica Marijanca,2.9,Ben
2023-12-14,18:27,McDonald's restavracija - Železniška,2.64,Ben
2023-12-10,19:11,BURGER TIME,5.14,Ben
2023-11-29,13:09,Okrepčevalnica Marijanca,2.9,Ben
2023-11-24,10:57,Okrepčevalnica Marijanca,2.9,Ben
2023-11-23,18:12,Zbornica bar in žar,5.14,Ben
2023-11-22,20:36,Šeherezada,2.5,Ben
