date,restaurant,discount_meal_price
2023-10-05,Restavracija Shaolin,5.0
2023-10-07,Fari's,4.63
2023-10-10,Namaste Indian Express,3.14
2023-10-10,Okrepčevalnica Marijanca,2.9
2023-10-11,Okrepčevalnica Marijanca,2.9
2023-10-12,BURGER TIME,5.14
2023-10-18,Okrepčevalnica Marijanca,2.9
2023-10-18,Kitajska restavracija Novi Šanghai,4.34
2023-10-20,Okrepčevalnica Marijanca,2.9
2023-10-25,Okrepčevalnica Marijanca,2.9
2023-10-25,BURGER TIME,5.14
2023-10-26,Restavracija Shaolin,5.0
2023-11-01,McDonald's restavracija - Celje Drive,2.64
2023-11-01,Šeherezada,2.5
2023-11-03,Okrepčevalnica Marijanca,2.9
2023-11-04,Šeherezada,2.5
2023-11-08,Šeherezada 2,2.5
2023-11-10,Zbornica bar in žar,5.14
2023-11-12,Baščaršija Koper Carpacciov trg,4.04
2023-11-15,Okrepčevalnica Marijanca,2.9
2023-11-20,Zbornica bar in žar,5.14
2023-11-20,Restavracija Shaolin,5.0
2023-11-21,Okrepčevalnica Marijanca,2.9
2023-11-22,Okrepčevalnica Marijanca,2.9
2023-11-22,Šeherezada,2.5
2023-11-23,Zbornica bar in žar,5.14
2023-11-24,Okrepčevalnica Marijanca,2.9
2023-11-29,Okrepčevalnica Marijanca,2.9
2023-12-10,BURGER TIME,5.14
2023-12-14,McDonald's restavracija - Železniška,2.64
2023-12-15,Okrepčevalnica Marijanca,2.9
2023-12-18,Cantina QUE PASA,4.3
2023-12-18,Okrepčevalnica HOLYFOOD,0.0
2023-12-19,Okrepčevalnica Marijanca,2.9
2024-01-01,Restavracija Shaolin,5.0
2024-01-05,Leonard,0.2
2024-01-06,Šeherezada,3.0
2024-01-07,Gostilnica in pivnica Kratochwill,5.14
2024-01-09,Okrepčevalnica Marijanca,2.9
2024-01-10,Pizzeria in oštarija Fugazi,5.14
2024-01-11,Namaste Indian Express,3.14
2024-01-11,Restavracija Fany & Mary,5.14
2024-01-16,BURGER TIME,5.14
2024-01-17,Pizzeria in oštarija Fugazi,5.14
2024-01-18,Yuko,5.14
2024-01-19,Pizzeria Briksen,5.14
2024-01-22,McDonald's restavracija - Železniška,2.64
2024-01-22,Okrepčevalnica Marijanca,2.9
2024-01-24,Okrepčevalnica Marijanca,2.9
2024-01-26,KOA Bistro & bar,4.99
2024-01-28,Gostilnica in pivnica Kratochwill,5.14
2024-01-29,Gostilnica Meta in Bazilika,5.14
2024-01-30,ŽITO Ljubljana Bavarski dvor,0.0
2024-01-30,Cantina QUE PASA,4.3
2024-02-01,Cantina QUE PASA,4.3
2024-02-02,ABI FALAFEL,5.14
2024-02-03,Pelmenarna,4.14
2024-02-04,RIKŠA CURRY & WOK,4.3
2024-02-05,"DA BU DA, Azijska restavracija",5.14
2024-02-07,Pizzeria in oštarija Fugazi,5.14
2024-02-08,"JOE PENA'S, mehiška restavracija",5.14
2024-02-09,ŽITO Ljubljana Bavarski dvor,0.0
2024-02-10,Cantina QUE PASA,4.3
2024-02-15,"DA BU DA, Azijska restavracija",5.14
2024-02-16,Restavracija Fresco,5.1
